Transect,Chaetodon_argentatus,Chaetodon_auripes,Chaetodon_cf_auriga,Chaetodon_cf_citrinellus,Chaetodon_cf_octofasciatus,Chaetodon_cf_trifascialis,Chaetodon_cf_vagabundus,Chaetodon_kleinii,Chaetodon_lineolatus,Chaetodon_lunulatus,Chaetodon_melannotus,Chaetodon_ornatissimus,Chaetodon_punctatofasciatus,Chaetodon_reticulatus,Chaetodon_speculum,Chaetodon_unimaculatus,Forcipiger_flavissimus,Hemitaurichthys_polylepis,Heniochus_acuminatus,Heniochus_monoceros,Heniochus_varius
N_MA_10_T4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MA_10_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_15_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_15_T2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
N_MS_15_T3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_15_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_15_T5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_5_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_5_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_5_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_5_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N_MS_5_T5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_BH_10_T1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,8,0,0,0
O_BH_10_T2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
O_BH_10_T3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
O_BH_10_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0
O_BH_10_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_DC_10_T5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
O_GG_10_T1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
O_GG_10_T2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0
O_GG_10_T3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,101,0,0,0
O_GG_10_T4,1,1,0,0,0,3,0,1,0,5,0,0,0,0,0,0,1,41,0,0,0
O_GG_10_T5,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
O_HR_10_T1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
O_HR_10_T2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_HR_10_T3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
O_HR_10_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_HR_10_T5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O_OR_10_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_OR_10_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_OR_10_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_OR_10_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_OR_10_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_TL_10_T1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
O_TL_10_T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_TL_10_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_TL_10_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_TL_10_T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,57,0,0,0
O_YY_10_T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_YY_10_T2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
O_YY_10_T3,2,2,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
O_YY_10_T4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_YY_10_T5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
